"fecha","hora","magnitud","profundidad_km","lugar","latitud","longitud"
"2026-04-23","08:09",4.8,62.2,"34 km SSW of La Libertad, El Salvador",13.1854,-89.4104
"2026-04-08","04:43",4.2,74.325,"51 km SSW of Chirilagua, El Salvador",12.7799,-88.3026
"2026-04-07","19:32",3.9,47.759,"73 km SSW of Chirilagua, El Salvador",12.5761,-88.3202
"2026-04-06","17:31",4.3,10,"140 km S of La Libertad, El Salvador",12.22,-89.4321
"2026-04-03","21:32",4.1,69.327,"25 km WSW of Acajutla, El Salvador",13.479,-90.0288
"2026-03-29","23:15",4.6,35,"98 km S of La Libertad, El Salvador",12.6046,-89.3916
"2026-03-26","16:11",4.8,70.542,"32 km SSE of La Libertad, El Salvador",13.2175,-89.2159
"2026-03-21","08:17",4.4,70.226,"46 km SW of Puerto El Triunfo, El Salvador",12.9863,-88.8573
"2026-03-14","23:00",5.3,59.911,"60 km SSW of Intipucá, El Salvador",12.6793,-88.2459
"2026-03-09","09:15",4.3,35,"97 km SW of Acajutla, El Salvador",13.0569,-90.5402
"2026-03-04","12:56",5.3,46.548,"73 km SSW of Chirilagua, El Salvador",12.5827,-88.3235
"2026-02-28","04:21",4.6,73.755,"13 km WSW of Acajutla, El Salvador",13.5616,-89.9442
"2026-02-19","01:30",4.4,10,"135 km S of La Libertad, El Salvador",12.2657,-89.3559
"2026-02-04","23:39",4.3,65.324,"44 km S of La Libertad, El Salvador",13.091,-89.2605
"2026-01-27","15:06",4.5,183.499,"5 km SW of Chapeltique, El Salvador",13.5966,-88.3014
"2026-01-19","21:28",4.3,10,"103 km SW of Puerto El Triunfo, El Salvador",12.5358,-89.1249
"2026-01-06","11:07",4,83.742,"24 km SW of Jucuarán, El Salvador",13.0841,-88.3856
"2026-01-02","00:28",4.1,83.046,"8 km SSE of El Tránsito, El Salvador",13.2801,-88.3283
"2025-12-28","03:55",4.4,189.415,"14 km NNE of Berlín, El Salvador",13.6258,-88.4988
"2025-12-26","21:13",4.2,10,"141 km SSW of Acajutla, El Salvador",12.402,-90.2957
"2025-12-17","01:17",4.3,62.909,"67 km S of Puerto El Triunfo, El Salvador",12.6793,-88.4711
"2025-12-11","18:40",4.3,10,"89 km S of Acajutla, El Salvador",12.7869,-89.8868
"2025-12-11","11:18",4.8,10,"89 km S of Acajutla, El Salvador",12.794,-89.9743
"2025-12-07","16:36",4.4,47.769,"23 km S of Acajutla, El Salvador",13.3825,-89.8144
"2025-11-29","00:52",4.9,84.992,"20 km S of El Rosario, El Salvador",13.313,-89.049
"2025-11-26","04:49",4.3,141.256,"1 km NE of Olocuilta, El Salvador",13.58,-89.1021
"2025-11-20","01:26",4.6,196.976,"14 km SE of Conchagua, El Salvador",13.207,-87.7745
"2025-11-16","22:22",4.2,66.155,"43 km SW of Puerto El Triunfo, El Salvador",12.977,-88.8024
"2025-11-08","19:49",4.9,71.643,"33 km SSW of Puerto El Triunfo, El Salvador",13.0116,-88.6876
"2025-11-05","23:21",4.6,78.191,"22 km SSW of Puerto El Triunfo, El Salvador",13.09,-88.6169
"2025-11-04","19:38",4.4,35,"75 km S of La Libertad, El Salvador",12.8114,-89.2547
"2025-10-25","20:36",4.2,230.595,"3 km NW of San Alejo, El Salvador",13.4568,-87.9805
"2025-10-10","00:27",4.6,171.484,"13 km S of Conchagua, El Salvador",13.1878,-87.852
"2025-09-22","15:42",4.5,10,"130 km SSW of Chirilagua, El Salvador",12.0875,-88.4631
"2025-08-23","03:14",6,17,"88 km SW of Acajutla, El Salvador",13.0601,-90.4343
"2025-08-22","08:46",4.2,31.573,"63 km WSW of Acajutla, El Salvador",13.372,-90.3699
"2025-08-21","21:31",4.2,10,"9 km NW of Atiquizaya, El Salvador",14.0249,-89.8234
"2025-08-18","05:56",4.3,39.363,"65 km S of Acajutla, El Salvador",13.0031,-89.7542
"2025-08-16","01:34",4,40.952,"74 km S of La Libertad, El Salvador",12.8133,-89.3185
"2025-08-16","01:25",4.2,48.078,"76 km S of La Libertad, El Salvador",12.8009,-89.2883
"2025-08-12","17:39",4.3,10,"133 km SW of Acajutla, El Salvador",12.6134,-90.5534
"2025-08-06","08:09",4.5,10,"109 km S of Acajutla, El Salvador",12.6049,-89.8876
"2025-08-03","19:30",4.1,53.012,"60 km S of Puerto El Triunfo, El Salvador",12.7375,-88.5933
"2025-07-31","03:54",4.1,52.717,"66 km S of La Libertad, El Salvador",12.8918,-89.2348
"2025-07-30","18:32",4,10,"8 km NNW of Ahuachapán, El Salvador",13.9924,-89.8803
"2025-07-29","13:32",4,42.488,"52 km SSW of Chirilagua, El Salvador",12.7745,-88.2994
"2025-07-26","21:06",4.8,35,"95 km SSW of Puerto El Triunfo, El Salvador",12.4439,-88.7541
"2025-07-14","10:31",4.3,50.904,"71 km S of Intipuc?, El Salvador",12.5563,-88.137
"2025-06-30","22:47",4.4,10,"116 km S of La Libertad, El Salvador",12.4389,-89.4065
"2025-06-26","06:34",4.4,72.181,"51 km S of El Rosario, El Salvador",13.0326,-89.0543
"2025-06-18","05:57",5.4,79.464,"22 km S of Puerto El Triunfo, El Salvador",13.0775,-88.5694
"2025-06-11","18:12",4.3,10,"116 km S of La Libertad, El Salvador",12.4391,-89.3216
"2025-06-09","15:24",4.3,66.413,"52 km SSW of Puerto El Triunfo, El Salvador",12.8359,-88.7226
"2025-05-29","10:27",4.6,71.926,"48 km S of El Rosario, El Salvador",13.0578,-89.0383
"2025-05-27","16:53",4.4,73.771,"9 km W of Acajutla, El Salvador",13.6053,-89.9185
"2025-05-26","00:08",4.2,77.909,"15 km SSW of Acajutla, El Salvador",13.4747,-89.9009
"2025-05-22","12:32",5,67.918,"39 km S of Puerto El Triunfo, El Salvador",12.9288,-88.5923
"2025-05-14","10:19",4.7,71.714,"52 km S of Intipucá, El Salvador",12.7304,-88.1166
"2025-05-10","12:36",4.6,63.989,"57 km SW of Puerto El Triunfo, El Salvador",12.8659,-88.8594
"2025-05-08","11:26",4.1,42.113,"61 km SSW of Puerto El Triunfo, El Salvador",12.7385,-88.6758
"2025-05-05","02:30",4.8,52.589,"78 km SSW of Intipucá, El Salvador",12.5119,-88.2428
"2025-05-04","12:17",4.3,35,"87 km SSW of Puerto El Triunfo, El Salvador",12.5461,-88.8388
"2025-04-26","08:54",4,69.145,"37 km SSW of Chirilagua, El Salvador",12.9185,-88.2866
"2025-04-25","08:11",4.8,60.635,"44 km SSW of La Libertad, El Salvador",13.1086,-89.4678
"2025-04-10","13:35",4.2,59.299,"50 km S of El Rosario, El Salvador",13.046,-89.0769
"2025-03-24","02:05",4.2,166.471,"13 km WSW of San Agustín, El Salvador",13.4048,-88.721
"2025-03-20","02:15",5,68.651,"41 km SW of Puerto El Triunfo, El Salvador",13.0126,-88.8131
"2025-03-18","20:47",4.9,149.611,"2 km NE of Ilopango, El Salvador",13.7206,-89.0896
"2025-03-15","05:38",4,62.907,"44 km S of El Rosario, El Salvador",13.1054,-89.0989
"2025-03-12","13:36",4.1,59.335,"41 km SW of Puerto El Triunfo, El Salvador",13.0264,-88.8295
"2025-03-07","19:35",4.1,62.302,"74 km S of Intipucá, El Salvador",12.5274,-88.151
"2025-02-27","04:23",4.5,10.881,"119 km SSW of La Libertad, El Salvador",12.5155,-89.7936
"2025-02-25","22:29",4.2,35,"77 km S of La Libertad, El Salvador",12.7931,-89.4142
"2025-02-16","02:22",4.2,23.679,"100 km SSW of Puerto El Triunfo, El Salvador",12.4924,-89.0117
"2025-02-16","02:11",4.5,36.717,"92 km SSW of Puerto El Triunfo, El Salvador",12.5694,-88.9968
